Date,Search Volume (UK)
Jan-04,79500
Feb-04,81700
Mar-04,77300
Apr-04,81700
May-04,81700
Jun-04,72900
Jul-04,86100
Aug-04,99400
Sep-04,70700
Oct-04,90600
Nov-04,72900
Dec-04,61800
Jan-05,81700
Feb-05,53000
Mar-05,66300
Apr-05,70700
May-05,53000
Jun-05,57400
Jul-05,61800
Aug-05,77300
Sep-05,81700
Oct-05,83900
Nov-05,50800
Dec-05,57400
Jan-06,68500
Feb-06,61800
Mar-06,53000
Apr-06,66300
May-06,50800
Jun-06,59600
Jul-06,64100
Aug-06,95000
Sep-06,77300
Oct-06,79500
Nov-06,72900
Dec-06,48600
Jan-07,68500
Feb-07,66300
Mar-07,64100
Apr-07,57400
May-07,64100
Jun-07,59600
Jul-07,72900
Aug-07,68500
Sep-07,61800
Oct-07,61800
Nov-07,57400
Dec-07,37500
Jan-08,57400
Feb-08,42000
Mar-08,59600
Apr-08,39800
May-08,44200
Jun-08,46400
Jul-08,44200
Aug-08,53000
Sep-08,55200
Oct-08,50800
Nov-08,44200
Dec-08,35300
Jan-09,46400
Feb-09,50800
Mar-09,42000
Apr-09,53000
May-09,46400
Jun-09,44200
Jul-09,55200
Aug-09,64100
Sep-09,48600
Oct-09,53000
Nov-09,53000
Dec-09,39800
Jan-10,55200
Feb-10,48600
Mar-10,55200
Apr-10,42000
May-10,48600
Jun-10,53000
Jul-10,55200
Aug-10,61800
Sep-10,46400
Oct-10,53000
Nov-10,48600
Dec-10,35300
Jan-11,68500
Feb-11,70700
Mar-11,70700
Apr-11,61800
May-11,68500
Jun-11,61800
Jul-11,66300
Aug-11,81700
Sep-11,70700
Oct-11,79500
Nov-11,68500
Dec-11,55200
Jan-12,79500
Feb-12,77300
Mar-12,75100
Apr-12,72900
May-12,68500
Jun-12,79500
Jul-12,75100
Aug-12,90600
Sep-12,86100
Oct-12,77300
Nov-12,77300
Dec-12,55200
Jan-13,70700
Feb-13,75100
Mar-13,88400
Apr-13,88400
May-13,79500
Jun-13,81700
Jul-13,79500
Aug-13,108200
Sep-13,97200
Oct-13,99400
Nov-13,88400
Dec-13,72900
Jan-14,97200
Feb-14,99400
Mar-14,92800
Apr-14,101600
May-14,92800
Jun-14,86100
Jul-14,97200
Aug-14,117100
Sep-14,110400
Oct-14,110400
Nov-14,110400
Dec-14,81700
Jan-15,108200
Feb-15,114900
Mar-15,108200
Apr-15,108200
May-15,106000
Jun-15,103800
Jul-15,108200
Aug-15,119300
Sep-15,110400
Oct-15,119300
Nov-15,114900
Dec-15,83900
Jan-16,117100
Feb-16,121500
Mar-16,125900
Apr-16,119300
May-16,112600
Jun-16,103800
Jul-16,117100
Aug-16,125900
Sep-16,128100
Oct-16,134700
Nov-16,119300
Dec-16,88400
Jan-17,132500
Feb-17,132500
Mar-17,125900
Apr-17,123700
May-17,121500
Jun-17,121500
Jul-17,148000
Aug-17,163500
Sep-17,145800
Oct-17,150200
Nov-17,145800
Dec-17,97200
Jan-18,141400
Feb-18,141400
Mar-18,139200
Apr-18,132500
May-18,119300
Jun-18,121500
Jul-18,134700
Aug-18,156800
Sep-18,152400
Oct-18,152400
Nov-18,143600
Dec-18,103800
Jan-19,141400
Feb-19,148000
Mar-19,148000
Apr-19,143600
May-19,139200
Jun-19,139200
Jul-19,143600
Aug-19,159000
Sep-19,154600
Oct-19,165700
Nov-19,148000
Dec-19,108200
Jan-20,156800
Feb-20,156800
Mar-20,130300
Apr-20,154600
May-20,185500
Jun-20,220900
Jul-20,214300
Aug-20,205400
Sep-20,201000
Oct-20,212000
